ID,RAdeg,DECdeg,Hmag,PhotFlag,Class_star,AGNflag,zphot,zspec,q_zspec,r_zspec,zbest,zphot_l68,zphot_u68,zphot_l95,zphot_u95,zAGN,M_neb_med,s_neb_med,M_med,s_med,M_14a_cons,M_11a_tau,M_6a_tau^NEB,M_13a_tau,M_12a_tau,M_6a_tau,M_2a_tau,M_15a,M_10c,M_14a_lin,M_14a_deltau,M_14a_tau,M_14a_inctau,M_14a,M_neb_med_lin,s_neb_med_lin,M_med_lin,s_med_lin
10705,215.1743982,53.0321158,24.1844,0,0.0,0,1.962,-99.0,-99,-99,1.962,1.42,2.34,1.17,2.55,-99.0,9.08,0.306469,8.8536,0.188381,8.8798,9.36386,8.79623,9.22,8.9123,8.79281,8.739,8.85464,9.21,8.79675,8.81069,8.89077,8.87049,8.79675,9.16685,0.27723,8.87076,0.27346
10706,215.0910592,52.9744429,25.7695,0,0.01,0,1.876,-99.0,-99,-99,1.876,1.22,2.46,0.85,2.83,-99.0,8.6677,0.158834,8.77178,0.124566,8.5221,8.8134,8.77743,8.79,8.6787,8.81704,9.004,8.72652,8.38,8.40961,8.45491,8.54516,8.49065,8.52218,8.73668,0.12372,8.80373,0.14436
10708,215.0405013,52.938767,26.0879,0,0.35,0,1.564,-99.0,-99,-99,1.564,1.35,2.29,1.0,2.68,-99.0,8.2376,0.243556,8.38061,0.138823,8.0173,8.4174,8.45788,8.43,8.3294,8.3032,8.64,8.33302,7.12,7.88467,7.96094,8.06161,7.97965,8.01735,8.2912,0.22007,8.38261,0.17686
10719,214.7721089,52.7481461,-99.0,8,0.75,0,6.087,-99.0,-99,-99,6.087,1.53,8.41,0.34,9.81,-99.0,7.3275,3.2766,10.1836,0.923074,7.3275,3.32652,9.82171,9.07,11.1394,9.85703,10.434,11.2971,6.94,7.10467,7.3355,7.28173,7.23188,7.32764,9.22242,0.50068,10.8894,0.53115
10721,215.126864,52.999741,26.4179,0,0.45,0,2.406,-99.0,-99,-99,2.406,0.76,2.93,0.25,3.42,-99.0,8.572,0.151031,8.51352,0.089701,8.4377,8.5564,8.73759,8.59,8.6191,8.41847,0.0,8.51352,8.48,8.33231,8.36475,8.44683,8.40188,8.4378,8.61303,0.14748,8.53027,0.08343
10726,215.0239435,52.9271777,25.9856,0,0.24,0,1.387,-99.0,-99,-99,1.387,1.63,1.74,1.59,1.77,-99.0,8.3066,0.09717,8.42171,0.466942,8.4027,8.28116,8.21059,8.51,8.441,8.35507,7.413,8.48835,8.46,8.27068,8.45452,8.448,8.377,8.40279,8.31717,0.1006,8.40016,0.23208
10727,214.8847214,52.8284373,25.8669,0,0.1,0,1.37,-99.0,-99,-99,1.37,1.29,2.37,1.08,2.67,-99.0,7.8827,0.182616,8.11552,0.268002,7.8827,7.79013,8.14239,8.28,7.8506,7.92962,8.484,7.97244,7.95,7.74735,7.77814,7.89397,7.84033,7.74735,7.88271,0.17745,8.1529,0.32035
10728,214.8641114,52.8138137,26.8608,0,0.35,0,1.287,-99.0,-99,-99,1.287,1.0,4.94,0.33,5.7,-99.0,8.3791,0.266682,8.3453,0.232681,7.9746,8.47791,8.37912,8.32,8.4849,8.39585,7.89,8.37061,7.88,7.83568,7.88624,8.01092,7.91807,8.01092,8.29542,0.233,8.36513,0.16051
10729,214.9901736,52.9033064,27.2615,1,0.35,0,1.462,-99.0,-99,-99,1.462,1.34,2.37,0.66,2.57,-99.0,7.0163,0.307382,7.21717,0.108787,7.5127,7.01625,6.95051,7.36,7.1743,7.18526,7.067,7.26005,7.62,7.35813,7.3692,7.52442,7.48069,7.35813,7.31688,0.27737,7.21929,0.11049
10731,214.8730669,52.8195401,23.6276,0,0.01,0,1.711,-99.0,-99,-99,1.711,1.58,1.77,1.5,1.87,-99.0,9.4362,0.198377,9.40566,0.111863,9.317,9.62228,9.25018,9.53,9.2434,9.46731,9.344,9.43191,9.46,9.33141,9.33441,9.31587,9.32763,9.31587,9.31701,0.19137,9.4211,0.10038
10740,214.7040797,52.6992642,23.9602,2,0.01,0,1.462,-99.0,-99,-99,1.462,1.25,1.91,1.07,2.1,-99.0,8.9173,0.152928,8.9225,0.131519,8.7694,9.06526,8.85028,8.99,8.6844,8.95032,9.007,8.87484,9.12,8.72752,8.7739,8.79275,8.75831,8.79275,8.94204,0.15027,8.91421,0.11137
10751,214.8024912,52.7700165,26.0633,0,0.35,0,2.127,-99.0,-99,-99,2.127,1.37,2.44,0.95,2.81,-99.0,7.8279,0.681363,8.68288,0.206714,8.1891,8.47659,7.17927,8.63,8.7653,8.46015,8.927,8.43876,8.65,8.04289,8.12871,8.25413,8.14443,8.18925,8.19693,0.39262,8.7029,0.20441
10754,215.1960448,53.0484729,25.7089,0,0.09,0,1.571,-99.0,-99,-99,1.571,1.14,2.44,0.52,2.79,-99.0,8.3273,0.221261,8.32649,0.333486,8.1745,8.05019,8.48015,8.56,8.3139,8.57066,7.75,8.33907,7.51,8.05058,8.11403,8.21222,8.13444,8.17461,8.31634,0.21089,8.33493,0.22512
10758,214.9452388,52.8716038,26.6792,0,0.35,0,0.66,-99.0,-99,-99,0.66,0.68,2.77,0.25,3.43,-99.0,7.1177,0.335924,6.89457,0.104377,7.0444,6.86581,7.51601,6.92,6.7641,6.84825,7.047,6.86913,6.93,6.93442,6.97173,7.06124,6.99722,7.04448,7.30268,0.29752,6.89048,0.11063
10761,214.9569308,52.8795331,24.8666,0,0.0,0,1.699,-99.0,-99,-99,1.699,1.31,2.3,1.1,2.57,-99.0,8.9655,0.125429,8.56919,0.216254,8.8411,9.08993,8.99313,8.99,8.5577,8.49734,8.444,8.64104,8.85,8.76187,8.84556,8.85082,8.82128,8.85082,8.98814,0.11849,8.58843,0.33244
